Locality;Site;NR;YEAR;MONTH;Habitat;ART;VEKT;LENMM;LENCM;Kond;SEX;MATURITY;AGE;Measured Hg weight;Omregnfaktor;MHGWet1;MHGWet2;MHGDry;Log10MHGWet1;Log10MHGDry;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;9pigg;sik;lagesild;UidCoreg;abbor;gjedde;niøye;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;SIASample ;%C;%N;δ13C;δ15N;SIAanmerkn;Kolonne1
Vaggatem;TB;30;2018;9;1;2;235;256;25,6;1,400709152;1;2;13;Dry;0,21;130,7830371;0,130783037;0,622776367;2,116551419;-0,205667876;10;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;3;;;;Planterest og fiskerest;TB-30;46,53515254;14,98033898;-21,69656298;7,5108705;;
Vaggatem;TB;31;2018;9;1;2;151;225;22,5;1,325651578;2;1;7;Dry;0,21;225,6807605;0,22568076;1,074670288;2,353494537;0,031275242;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;15;;;;Godt fordøyd. Planterester;TB-31;47,66607509;15,43590444;-23,12125056;9,3849835;;
Vaggatem;TB;32;2018;9;1;2;225;253;25,3;1,389379717;1;2;13;Dry;0,21;155,4522693;0,155452269;0,740248901;2,191597066;-0,130622228;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;;;;20;;;;17 x små stingsild. Planterester;TB-32;46,69604305;14,76821192;-22,35801391;7,796836;;
Vaggatem;TB;34;2018;9;1;2;64,2;166;16,6;1,403494658;2;2;6;Dry;0,21;51,48956085;0,051489561;0,245188385;1,711719188;-0,610500107;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-34;47,78370968;15,3426;-22,69765153;8,091191813;;
Vaggatem;TB;38;2018;9;1;2;101;202;20,2;1,225370062;2;2;8;Dry;0,21;88,44248566;0,088442486;0,421154694;1,94666094;-0,375558355;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;1 x stingsild;TB-38;49,57885621;15,92993464;-24,97728191;7,925471;;
Vaggatem;TB;43;2018;9;2;2;209;241;24,1;1,493121532;1;2;13;Dry;0,21;340,6317664;0,340631766;1,62205603;2,532285147;0,210065852;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;TB-43;46,96238908;14,99686007;-29,76489775;8,879349;;
Vaggatem;TB;45;2018;9;2;2;152;227;22,7;1,299469278;2;2;7;Dry;0,21;119,0369696;0,11903697;0,566842712;2,075681862;-0,246537432;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;TB-45;48,04262069;15,35337931;-25,11479966;8,8882545;;
Vaggatem;TB;47;2018;9;1;2;271;276;27,6;1,28896773;2;2;16;Dry;0,21;497,6927197;0,49769272;2,369965332;2,696961288;0,374741993;10;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;3;;;;Ryggmarg. Planterest;TB-47;46,46663366;15,22323432;-27,85860214;8,1797725;;
Vaggatem;TB;51;2018;9;1;2;303;295;29,5;1,180256988;2;2;14;Dry;0,21;457,1566699;0,45715667;2,176936523;2,660065061;0,337845766;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-51;47,70434783;15,44561873;-25,56799908;8,6903545;;
Vaggatem;TB;52;2018;9;1;2;384;301;30,1;1,408094291;1;1;12;Dry;0,21;299,4747656;0,299474766;1,426070313;2,476360234;0,154140939;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;<10 cm Gjedde.;TB-52;44,95288079;14,51072848;-26,94190616;8,6547325;;
